방송일자,방송시간,채널구분,단순분,가중분,아이템분류1,아이템분류2,아이템분류3,아이템분류4,아이템분류5,브랜드,상품명,판매가,할인가,프로모션,상품ID,이미지URL,상세링크,MD분류
2026-01-03,01:38~02:38,전체,60,1,뷰티,기초화장품,기초케어,크림/젤,크림,톤28,최현우 패키지] 톤 28 해남 병풀 새벽크림 50g x 6통 +  펩타시카 토너 250ml x 2통,168000,168000,카드 5%,20069720,https://img.shinsegaetvshopping.com/goods/720/20069720_s_20251106121255.jpg,https://www.shinsegaetvshopping.com/display/detail/20069720,뷰티
2026-01-03,02:38~03:39,전체,61,1,뷰티,색조화장품,포인트메이크업,마스카라,마스카라,닥터3,[단독! 방송에서만!] 닥터3 블랙 펩타이드 세럼카라 6ml X 4개  + 글로우 립밤 랜덤 1종,59900,59900,카드 5%,20067692,https://img.shinsegaetvshopping.com/goods/692/20067692_s_20250707113530.png,https://www.shinsegaetvshopping.com/display/detail/20067692,뷰티
2026-01-03,03:39~03:59,전체,20,1,가공식품,건강식품,천연건강식품,자연식품,기타 자연식품,미녀의레몬즙,[1일1레몬/최신통관] 미녀의 유기농 레몬즙 12박스 총168포 (20g*14포*12박스),198000,198000,카드 5%,20057460,https://img.shinsegaetvshopping.com/goods/460/20057460_s_20240708103655.jpg,https://www.shinsegaetvshopping.com/display/detail/20057460,건강식품
2026-01-03,03:59~04:19,전체,20,1,가공식품,건강식품,천연건강식품,자연식품,기타 자연식품,김소형,김소형원방 120시간달인 도라지고 스틱 10gX10포X10박스(총 100포),198000,198000,카드 5%,20064365,https://img.shinsegaetvshopping.com/goods/365/20064365_s_20250709112510.jpg,https://www.shinsegaetvshopping.com/display/detail/20064365,건강식품
2026-01-03,04:19~05:20,전체,61,1,뷰티,색조화장품,베이스메이크업,쿠션/팩트/파우더,쿠션팩트,이자녹스,[방송]최신상 이자녹스 듀얼커버 쿠션 (본품2+리필2+퍼프3) ⓝ,39000,39000,,20070622,https://img.shinsegaetvshopping.com/goods/622/20070622_s_20251027135731.jpg,https://www.shinsegaetvshopping.com/display/detail/20070622,뷰티
2026-01-03,05:20~06:20,전체,60,49,가공식품,건강식품,기타 건강식품,기타 건강식품,기타 건강식품,HLB제약 알부민,"(방송에서만)[3박스]HLB제약 알부민 인텐시브 골드 329(30병 X 3박스, 총 90병)",169000,169000,카드 5%,20069257,https://img.shinsegaetvshopping.com/goods/257/20069257_s_20251028164602.jpg,https://www.shinsegaetvshopping.com/display/detail/20069257,건강식품
2026-01-03,06:20~07:20,전체,60,81,생활용품,위생용품,구강위생용품,구강세척기,기타 구강세척기,파나소닉,[방송에서만 이구성이가격] 파나소닉 제트워셔 NEW포터블 무선 구강세정기 1+1SET(DJ11),129000,129000,카드 5%,20039329,https://img.shinsegaetvshopping.com/goods/329/20039329_s_20230919170047.jpg,https://www.shinsegaetvshopping.com/display/detail/20039329,생활용품
2026-01-03,07:20~08:21,전체,61,118,가공식품,건강식품,건강기능식품,건강기능식품,유산균,데이즈온_오한진프리,(방송에서만 50％세일) 데이즈온 원데이올인원 프리바이오틱스 유산균 12개월분 + 10일 무료체험,189000,189000,카드 5%,20067106,https://img.shinsegaetvshopping.com/goods/106/20067106_s_20250429113927.jpg,https://www.shinsegaetvshopping.com/display/detail/20067106,건강식품
2026-01-03,08:21~09:21,전체,60,119,가공식품,건강식품,기타 건강식품,기타 건강식품,기타 건강식품,리즐온,"(방송에서만 60병 더!) 이선민 알부민 골드 2+2, 총 4박스 (총 120병)",258000,258000,카드 5%,20070221,https://img.shinsegaetvshopping.com/goods/221/20070221_l_20251128165655.jpg,https://www.shinsegaetvshopping.com/display/detail/20070221,건강식품
2026-01-03,09:21~11:22,전체,121,179,가공식품,건강식품,천연건강식품,선식,기타 선식,골드카무트,[방송중 반값세일/12개월] 골드 카무트 효소 30포 x 12박스 + 파로 5봉,198000,198000,,20061600,https://img.shinsegaetvshopping.com/goods/600/20061600_s_20260105143644.jpg,https://www.shinsegaetvshopping.com/display/detail/20061600,건강식품
2026-01-03,11:22~12:23,전체,61,94,패션,여성의류,하의,팬츠,정장팬츠/슬랙스,모브온,모브온 25FW 기모 짱짱 팬츠 3종 (25년 최신상!),79900,79900,카드 5%,20068956,https://img.shinsegaetvshopping.com/goods/956/20068956_s_20251028132636.jpg,https://www.shinsegaetvshopping.com/display/detail/20068956,여성의류
2026-01-03,12:23~13:43,전체,80,122,가전/디지털,생활가전,청소기,진공 청소기,무선 진공청소기,보랄,(방송에서만!) 최신! 보랄 초경량 슬림 무선 청소기 (BR-S300VC),149000,149000,카드 5%,20067565,https://img.shinsegaetvshopping.com/goods/565/20067565_s_20250808095714.jpg,https://www.shinsegaetvshopping.com/display/detail/20067565,생활가전
2026-01-03,13:43~14:43,전체,60,68,뷰티,기초화장품,기초케어,크림/젤,크림,센텔리안24,[최대용량] NEW 동국제약 마데카 크림 타이트 리프팅 (크림 50ml*10+여행용5매키트),89910,89910,카드 5%,20070763,https://img.shinsegaetvshopping.com/goods/763/20070763_s_20251230153346.jpg,https://www.shinsegaetvshopping.com/display/detail/20070763,뷰티
2026-01-03,14:43~16:04,전체,81,121,패션,레포츠용품,스포츠슈즈,베이직스포츠,방한화,PONY,여성 포니 (PONY) 천연소가죽 방한부츠,59000,59000,카드 5%,20070212,https://img.shinsegaetvshopping.com/goods/212/20070212_s_20251130173450.jpg,https://www.shinsegaetvshopping.com/display/detail/20070212,레포츠
2026-01-03,16:04~17:24,전체,80,130,가공식품,냉동식품,냉동가공식품,냉동스테이크/떡갈비/섭산적,냉동갈비,조선호텔,조선호텔 양념 LA갈비 400g X 8팩,119900,119900,카드 5%,20060824,https://img.shinsegaetvshopping.com/goods/824/20060824_s_20250401104842.jpg,https://www.shinsegaetvshopping.com/display/detail/20060824,일반식품
